名字,户型,可住,价格,图片,评价,类型,城市
近厦门北益港居舒适双床房,1室,宜住2人,￥299,,"
                                        5.0
                                    ",整租,xiamen
惠选温馨 管家式服务+独立卫浴 1卧可住2人/厦门理工学院(集美校区)厦门老院子景区,1室,宜住2人,￥170,,"
                                        5.0
                                    ",整租,xiamen
近厦门北益港居温馨私人影院/投影设备,1室,宜住2人,￥207,,"
                                        5.0
                                    ",整租,xiamen
鼓浪屿厦大海边别墅五房一厅可做饭有麻将,5室,宜住16人,￥1188,,"
                                        5.0
                                    ",整租,xiamen
《溪溪里》鼓浪屿厦大黄厝沙滩海边别墅六房一厅独立厨房有麻将可团建走路到海边3分钟,6室,宜住18人,￥1195,,"
                                        5.0
                                    ",整租,xiamen
环岛路包独栋别墅｜8居室｜独立为这个家家庭聚会轰趴/可烧烤/可做饭/离沙仅需8分,8室,宜住16人,￥2688,,"
                                        5.0
                                    ",整租,xiamen
短租||月租‖SM旁‖地铁口‖近火车站‖有诗和远方的独有情调蜗居 五天起订,1室,宜住2人,￥199,,"
                                        5.0
                                    ",整租,xiamen
高级影音大床 步行海边双子塔 中山路 厦门大学 白城沙滩 观景天台 地铁站 公交站,1室,宜住2人,￥369,,"
                                        5.0
                                    ",整租,xiamen
两间两卫三床房 (1大1双)开放式观海露台和休闲区 近中山路 鼓浪屿 双子塔 厦门大学  南普陀,2室,宜住6人,￥589,,"
                                        5.0
                                    ",整租,xiamen
高级大床 近中山路 超大庭院 观海露台 地铁口 近鼓浪屿 双子塔 厦门大学 沙坡尾 南普陀 手机投屏,1室,宜住2人,￥329,,"
                                        5.0
                                    ",整租,xiamen
鹭岛大床 超大庭院 观海露台 地铁口 近中山路 鼓浪屿 双子塔 厦门大学 沙坡尾 南普陀 手机投屏,1室,宜住2人,￥319,,"
                                        5.0
                                    ",整租,xiamen
两间两卫 可住4人 露台可看海  近中山路 沙滩 厦门大学 南普院 双子塔 鼓浪屿 手机投屏,2室,宜住4人,￥569,,"
                                        5.0
                                    ",整租,xiamen
尊享双床 步行双子塔 厦门大学 南普陀 中山路，白城沙滩 近地铁 公交车站,1室,宜住4人,￥459,,"
                                        5.0
                                    ",整租,xiamen
尊荣大床/双子塔下·有停车场充电桩/有电梯·1卧1床[环岛路木栈道/厦门大学,1室,宜住2人,￥469,,"
                                        5.0
                                    ",整租,xiamen
温馨双床4人房 超大庭院 观景露台 地铁口 近中山路 鼓浪屿 双子塔 厦门大学 沙坡尾 手机投屏,1室,宜住4人,￥329,,"
                                        5.0
                                    ",整租,xiamen
清新大床 超大庭院 观海露台 地铁口 近中山路 鼓浪屿 双子塔 厦门大学 沙坡尾 南普陀 手机投屏,1室,宜住2人,￥209,,"
                                        5.0
                                    ",整租,xiamen
高级尊荣大床 有电梯 沙坡尾中心 近厦门大学 中山路 南普陀 沙滩 双子塔 近地铁,1室,宜住2人,￥429,,"
                                        5.0
                                    ",整租,xiamen
两房一卫家庭套房三床 步行中山路 厦门大学 白城沙滩 双子塔 南普陀 植物园 地铁站,2室,宜住6人,￥599,,"
                                        5.0
                                    ",整租,xiamen
温馨品质大床 近地铁 沙滩 厦门大学 南普陀 双子塔 中山路 白城 沙坡尾,1室,宜住2人,￥239,,"
                                        5.0
                                    ",整租,xiamen
有电梯/榻榻米亲子双床一居室/沙坡尾艺术西区，双子塔/厦门大学芙蓉湖/厦门海底世界,1室,宜住4人,￥369,,"
                                        5.0
                                    ",整租,xiamen
家庭两房一卫 电楼+便利店/中山路步行街/和平码头 厦门大学/可住4人,2室,宜住4人,￥569,,"
                                        5.0
                                    ",整租,xiamen
2楼落地窗大床房/无电梯/经济型/日租/短租/近植物园南门/曾厝垵，22点前入住,1室,宜住2人,￥88,,"
                                        5.0
                                    ",整租,xiamen
2楼特惠单人间/紧凑空间/日租/短租/植物园/环岛路/曾厝垵/厦大，22点前入住,1室,宜住2人,￥68,,"
                                        5.0
                                    ",整租,xiamen
3楼落地窗亲友间/无电梯/经济型/植物园/曾厝垵/环岛路/厦大，22点前入住,1室,宜住3人,￥119,,"
                                        5.0
                                    ",整租,xiamen
演唱会专属-双人床 近厦门高崎机场【24小时免费接送机+送演唱会场馆】,1室,宜住2人,￥258,,"
                                        5.0
                                    ",整租,xiamen
演唱会专属-大床房 近厦门高崎机场 【24小时免费接送机+送演唱会场馆】,1室,宜住2人,￥228,,"
                                        5.0
                                    ",整租,xiamen
轻奢高大双层豪华装修/市中心繁华地段/临近地铁站/会展中心/海边沙滩/宝龙一城,2室,宜住4人,￥980,,"
                                        5.0
                                    ",整租,xiamen
海景房,3室,宜住2人,￥99,,"
                                        5.0
                                    ",单间出租,xiamen
阳光彩虹沙滩海景房带停车景复式 楼下步沙滩 靠北站机场 近商场大排档 可住4人,1室,宜住4人,￥188,,"
                                        5.0
                                    ",整租,xiamen
阳光彩虹沙滩海景房带停车位躺床上看海 出门即沙滩 门口公交直达景区,1室,宜住4人,￥198,,"
                                        5.0
                                    ",整租,xiamen
海景房大落地窗 吊椅 近北站机场 可住4人 步行5分钟到彩虹沙滩 榻榻米日式清新,1室,宜住4人,￥288,,"
                                        5.0
                                    ",整租,xiamen
厦门逅海私筑海景公寓/温馨现代豪装/设施齐全/纯海景看海上台湾金门/超级大露台/近新机场交通便利,3室,宜住7人,￥666,,"
                                        5.0
                                    ",整租,xiamen
【翔安雅舍】复式loft两房/鼓锣地铁站/近国际博览中心/白鹭体育场/凤凰体育馆,2室,宜住4人,￥280,,"
                                        5.0
                                    ",整租,xiamen
温馨三床房 近厦门高崎机场【24小时免费接送机】,1室,宜住3人,￥228,,"
                                        5.0
                                    ",整租,xiamen
温馨大床房 近厦门高崎机场 【24小时免费接送】,1室,宜住2人,￥168,,"
                                        5.0
                                    ",整租,xiamen
温馨双人床 厦门高崎机场【24小时免费接送】,1室,宜住2人,￥198,,"
                                        5.0
                                    ",整租,xiamen
高级大床房 近厦门高崎机场【24小时免费接送机】,1室,宜住2人,￥198,,"
                                        5.0
                                    ",整租,xiamen
房号104是2人双床价，走路到厦大植物园南门环岛路曾厝垵海边，老厦门人免费讲,1室,宜住2人,￥70,,"
                                        5.0
                                    ",整租,xiamen
【新春特惠】知趣·阳光双床 可住2-3人｜楼下八市｜中山路步行街 近鼓浪屿｜地铁口 公交线｜思北 B,1室,宜住3人,￥161,,"
                                        5.0
                                    ",整租,xiamen
【春节特惠】汐夏·简约阳台大床房 ｜楼下就到八市地标 ｜中山路步行街  近鼓浪屿 地铁口 开禾路口B,1室,宜住2人,￥146,,"
                                        5.0
                                    ",整租,xiamen
2楼投影落地窗大床1.8米/无电梯/近海边/植物园/曾厝垵/环岛路/22点前入住,1室,宜住2人,￥109,,"
                                        5.0
                                    ",整租,xiamen
【黑天鹅•精致大床房】英才学校/灵玲动物王国/十里长堤/纯真·1卧/2人居住·冰箱洗衣机/无线网络,1室,宜住2人,￥234,,"
                                        5.0
                                    ",整租,xiamen
近金榜公园/厦门万象城/火车站地铁口/筼/新装修/舒雅·一居/2人居住·独立卫浴,1室,宜住2人,￥258,,"
                                        5.0
                                    ",整租,xiamen
海边［别墅套房二房二厅］黄厝沙滩 鼓浪屿 厦门大学 中山路 曾厝垵 沙坡尾,2室,宜住4人,￥499,,"
                                        5.0
                                    ",整租,xiamen
环岛路厦金海景四房两厅空中墅,4室,宜住8人,￥999,,"
                                        5.0
                                    ",整租,xiamen
干净舒适大一房出租,1室,宜住2人,￥198,,"
                                        5.0
                                    ",整租,xiamen
臻享筑/1-2人1.5米大床1房1卫/花园露台/中山路/鼓浪屿/厦门大学/植物园,1室,宜住2人,￥496,,"
                                        5.0
                                    ",整租,xiamen
臻享筑/2-4人1.5米双床1房1卫/花园露台/中山路/鼓浪屿/厦门大学/植物园,1室,宜住4人,￥664,,"
                                        5.0
                                    ",整租,xiamen
精品三房一厅  近曾厝垵/环岛路/厦大/鼓浪屿/中山路/可多人入住,3室,宜住8人,￥368,,"
                                        5.0
                                    ",整租,xiamen
豪华两房/近曾厝垵/环岛路/厦大/鼓浪屿/中山路/可多人入住,2室,宜住4人,￥219,,"
                                        5.0
                                    ",整租,xiamen
温馨亲子两房一厅/近曾厝垵/环岛路/厦大/鼓浪屿/中山路/可多人入住,2室,宜住6人,￥268,,"
                                        5.0
                                    ",整租,xiamen
精品三室,3室,宜住8人,￥288,,"
                                        5.0
                                    ",整租,xiamen
温馨亲子两房/近曾厝垵/环岛路/厦大/鼓浪屿/中山路/可多人入住,2室,宜住6人,￥198,,"
                                        5.0
                                    ",整租,xiamen
精品三室一厅/带麻将机,3室,宜住6人,￥419,,"
                                        5.0
                                    ",整租,xiamen
豪华四室一厅带/带麻将机/超大露台/聚会,4室,宜住12人,￥498,,"
                                        5.0
                                    ",整租,xiamen
海景精品四室一厅/带麻将机,4室,宜住12人,￥588,,"
                                        5.0
                                    ",整租,xiamen
ins云野大床房/投影仪+浴缸/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住2人,￥728,,"
                                        5.0
                                    ",整租,xiamen
木眠亲子/投影仪+浴缸/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住3人,￥928,,"
                                        5.0
                                    ",整租,xiamen
夕时/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住2人,￥788,,"
                                        5.0
                                    ",整租,xiamen
乐境·亲子房,1室,宜住3人,￥1200,,"
                                        5.0
                                    ",整租,xiamen
星顶·室套房,1室,宜住2人,￥1180,,"
                                        5.0
                                    ",整租,xiamen
白川-LOFT复式家庭房/投影仪+浴缸/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住2人,￥898,,"
                                        5.0
                                    ",整租,xiamen
月巷/投影仪+浴缸/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住2人,￥868,,"
                                        5.0
                                    ",整租,xiamen
山露亲子/投影仪+浴缸/海边别墅·泳池/近环岛路/海边/曾厝垵/厦大/会展等热门景点,1室,宜住4人,￥1350,,"
                                        5.0
                                    ",整租,xiamen
兴东鑫长期特价房,1室,宜住2人,￥68,,"
                                        5.0
                                    ",整租,xiamen
【实拍】极米投影｜JBL音响【Loft套房】机场｜火车站｜中山路直达｜五缘湾商圈,1室,宜住2人,￥220,,"
                                        5.0
                                    ",整租,xiamen
【实拍】近机场/湿地公园【复式loft套房】快速公交直达中山路|火车站|环岛路,1室,宜住2人,￥220,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/现代风两房两床/手搓麻将/高楼层/带电视箱洗衣机可做饭/近地铁公交交通,2室,宜住1人,￥450,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/现代风两房两床/手搓麻将/高楼层/带电视箱洗衣机可做饭/近地铁公交交通,2室,宜住4人,￥450,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/现代风两房两床/手搓麻将/高楼层/带电视箱洗衣机可做饭/近地铁公交交,2室,宜住4人,￥450,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/法式风两房两床/高楼层/带电视冰箱洗衣机/可做饭/近地铁公交交通便利,2室,宜住4人,￥450,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/杂志复古风三房四床/巨幕投影/可做饭/近观音山海边环岛路/曾厝安/五缘,3室,宜住8人,￥850,,"
                                        5.0
                                    ",整租,xiamen
不期而遇/奶油风三房三床/巨幕投影/可做饭/近地铁公交交通便利/宝龙广场/会展,3室,宜住1人,￥655,,"
                                        5.0
                                    ",整租,xiamen
日出海景独立两居室/高清投影/大落地窗/彩虹沙滩,2室,宜住4人,￥280,,"
                                        5.0
                                    ",整租,xiamen
软二观音山运营中心附近海景公寓,1室,宜住1人,￥139,,"
                                        5.0
                                    ",整租,xiamen
思明区观音山温馨公寓客栈/软件园东门/地铁二号线/软件园商圈/交通极为便利,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
【厦门北站万科大都荟】温馨高层小区房/拎包入住/交通便利｜近集美大学城，多套/可月租,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
厦门北站旁，小区房—万科广场大都荟多套单间，一房一厅，两房出租，拎包入住/春节可订/春节特惠/春节家,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
多套温馨漂亮单间日租，月租，年租均可，欢迎来带家人入住，给你温馨家的感觉,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
【舒适大床房】厦门北站出发层旁边的小区，万科广场大都荟，交通非常便利，公交，BRT，地铁就在旁边,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
单身公寓-大床房【厦门北站万科广场大都荟】温馨高层小区房/拎包入住/交通便利｜近集美大学城/地铁站/,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
近厦门老院子景区 厦门华厦学院/清新大床房,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
软件园三期附近，离厦门北站动车站3分钟距离，公交地铁BRT车站都很近,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
温馨的家，家具家电齐全，拎包入住，随时欢迎来咨询看房入住,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
厦门北站动车站旁边小区房，万科广场大都荟多套单间和两房可住宿，欢迎下单入住,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
三分钟直达厦门北站（高铁站，动车站，公交车站三站一起）,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
近厦门老院子景区 厦门华厦学院/清新大床房,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
温馨漂亮单间多套单间可以供你选择，给你美丽舒适的环境,1室,宜住2人,￥139,,"
                                        5.0
                                    ",整租,xiamen
投影三室一厅五床可住9人有免费车位,3室,宜住9人,￥458,,"
                                        5.0
                                    ",整租,xiamen
鼓浪屿/厦大/黄厝沙滩/曾厝垵可团建带投影独立一栋六室两厅六卫两厨房有免费车位,6室,宜住18人,￥1228,,"
                                        5.0
                                    ",整租,xiamen
【舒适大床房】步行200米网红看日出打卡黄厝沙滩•近会展•鼓浪屿•曾厝垵•厦大南,1室,宜住2人,￥98,,"
                                        5.0
                                    ",整租,xiamen
【同层三室六床11人间】步行200米网红看日出打卡黄厝沙滩•近会展•鼓浪屿,3室,宜住11人,￥318,,"
                                        5.0
                                    ",整租,xiamen
【环岛大床房】步行200米网红看日出打卡黄厝沙滩•近会展•鼓浪屿•曾厝垵•,1室,宜住2人,￥108,,"
                                        5.0
                                    ",整租,xiamen
【温馨亲子房】步行200米网红看日出打卡黄厝沙滩•近会展•鼓浪屿•曾厝垵•,1室,宜住3人,￥108,,"
                                        5.0
                                    ",整租,xiamen
【环岛双床房】步行200米网红看日出打卡黄厝沙滩•近会展•鼓浪屿•曾厝垵•,1室,宜住4人,￥118,,"
                                        5.0
                                    ",整租,xiamen
云浦·简约双床/私享观影/近中山公园 步行可达中山路步行街 近地铁 名汇广场/双,1室,宜住4人,￥248,,"
                                        5.0
                                    ",整租,xiamen
云浦·两床四人/近中山路/鼓浪屿/白城沙滩/投影房/交通方便/落地窗,1室,宜住4人,￥248,,"
                                        5.0
                                    ",整租,xiamen
云浦·双床四人/近中山路步行街/中山公园/鼓浪屿/植物园/近地铁/交通便利/美食街,1室,宜住4人,￥248,,"
                                        5.0
                                    ",整租,xiamen
影院小情侣民宿(送盲he小礼物),1室,宜住1人,￥150,,"
                                        5.0
                                    ",整租,xiamen
影院情侣公寓(送盲he小礼物),1室,宜住2人,￥150,,"
                                        2.0
                                    ",整租,xiamen
【初见·特惠大床房】免费停车+门口公交站+高清投影+步行5分钟到沙滩+电瓶车出租,1室,宜住1人,￥808,,"
                                        5.0
                                    ",整租,xiamen
兴东鑫特价房,1室,宜住2人,￥68,,"
                                        4.8
                                    ",整租,xiamen
东坑特价房,1室,宜住1人,￥76,,"
                                        5.0
                                    ",整租,xiamen
水云湾 特价房,1室,宜住1人,￥78,,"
                                        1.0
                                    ",整租,xiamen
兴东鑫特价房,1室,宜住1人,￥76,,"
                                        5.0
                                    ",整租,xiamen
兴东鑫特价房,1室,宜住2人,￥78,,"
                                        5.0
                                    ",整租,xiamen
水云湾 特价房,1室,宜住1人,￥88,,"
                                        5.0
                                    ",整租,xiamen
兴东鑫特价房,1室,宜住1人,￥90,,"
                                        5.0
                                    ",整租,xiamen
快乐天地 特价房,1室,宜住1人,￥88,,"
                                        5.0
                                    ",整租,xiamen
兴东鑫特价房,1室,宜住1人,￥78,,"
                                        5.0
                                    ",整租,xiamen
东坑特价房,1室,宜住2人,￥78,,"
                                        5.0
                                    ",整租,xiamen
东坑特价房,1室,宜住2人,￥88,,"
                                        5.0
                                    ",整租,xiamen
夏天的风民宿,1室,宜住2人,￥99,,"
                                        5.0
                                    ",整租,xiamen
春熙路地铁口日式榻榻米一室带厨房独立卫生间！可免费做饭！,1室,宜住2人,￥100,,"
                                        4.9
                                    ",整租,chengdu
<夏室Tender> 住进你的温柔里/LOFT浴缸带独立花园/太古里春熙路/投影,1室,宜住2人,￥208,,"
                                        4.9
                                    ",整租,chengdu
纱幔浴缸洞穴/成都东站【丛林艺术树洞】 投影/双地铁直达春熙路太古里/近宽窄巷子,1室,宜住2人,￥230,,"
                                        5.0
                                    ",整租,chengdu
实木席梦思大床春熙路北欧房,1室,宜住2人,￥100,,"
                                        4.8
                                    ",整租,chengdu
＜夏室Oasis3＞歇在城市高空的天际线/意式摩登风/高空俯瞰太古里春熙路/投影,3室,宜住8人,￥1188,,"
                                        4.8
                                    ",整租,chengdu
长租No3【假面游戏】萌粉色顽趣游戏屋，复古游戏机/搞怪头套-步行到春熙路太古里,2室,宜住4人,￥194,,"
                                        4.9
                                    ",整租,chengdu
<夏室Rose7en>住进城市的后花园/loft投影/浴缸独立花园/太古里春熙路,1室,宜住2人,￥318,,"
                                        5.0
                                    ",整租,chengdu
【原宿•馥芮白】浴缸/玫瑰浴/巨幕投影/成都东站步行3分钟/地铁直达春熙路太古里,1室,宜住2人,￥388,,"
                                        4.9
                                    ",整租,chengdu
<夏室Summer>夏日时光进度条/太古里ifs春熙路猛追湾339/高清投影,1室,宜住2人,￥198,,"
                                        4.7
                                    ",整租,chengdu
【可以免费做饭】已消毒日式榻榻米春熙路太古里熊猫基地一居,1室,宜住2人,￥100,,"
                                        4.8
                                    ",整租,chengdu
<夏室For3st>住进城市中央森林/270度高空俯瞰太古里/太古里ifs春熙路,1室,宜住4人,￥558,,"
                                        4.9
                                    ",整租,chengdu
＜夏室invis3＞停在城市高空天际线/意式ArtDeco风/高空俯瞰成都熊猫塔/高清投影蓝牙音响,1室,宜住4人,￥558,,"
                                        5.0
                                    ",整租,chengdu
长租/短租/简欧大床房/近动物园/熊猫基地/3号线/7号线,1室,宜住2人,￥100,,"
                                        4.3
                                    ",整租,chengdu
『樱花』（巨幕投影）春熙路太古里/宽窄巷子/文殊院地铁口一居,1室,宜住2人,￥110,,"
                                        4.8
                                    ",整租,chengdu
<夏室Summer>夏日时光进度条/太古里ifs春熙路猛追湾339/高清投影音响,1室,宜住2人,￥198,,"
                                        5.0
                                    ",整租,chengdu
<夏室9uiet> 寻找城市里的宁静/LOFT阳**立花园/太古里ifs春熙路339/高清投影/音响,1室,宜住2人,￥218,,"
                                        4.9
                                    ",整租,chengdu
【灰调】春熙路太古里/宽窄巷子/文殊院地铁口一居,1室,宜住2人,￥428,,"
                                        4.7
                                    ",整租,chengdu
<夏室Fourest>城市高空的暹罗花园/270度高空俯瞰太古里ifs春熙路/极米投影/马歇尔音响,1室,宜住4人,￥558,,"
                                        4.9
                                    ",整租,chengdu
『粉黛』春熙路太古里/文殊院LOFT精品大床房（投影电视随机）,1室,宜住2人,￥148,,"
                                        4.8
                                    ",整租,chengdu
拾光【黛.娜】近宽窄巷子/文殊院/熊猫基地/春熙路/太古里/loft/可住4人,2室,宜住4人,￥488,,"
                                        4.6
                                    ",整租,chengdu
锦里蝴蝶3床套二武侯祠锦里宽窄巷子春熙路太古里华西363天府广场,2室,宜住5人,￥268,,"
                                        5.0
                                    ",整租,chengdu
【旅人与酒806】春熙路太古里/投影落地窗大套三双卫/全棉床品/厨房,3室,宜住6人,￥336,,"
                                        4.9
                                    ",整租,chengdu
【道缘居A】都江堰风景区门口.南桥.西街.古城区.间欧小清新风格简约风格快铁站旁,1室,宜住4人,￥268,,"
                                        5.0
                                    ",整租,chengdu
文殊院宽窄巷子太古里loft一居,1室,宜住2人,￥458,,"
                                        4.9
                                    ",整租,chengdu
【简.印】近地铁口/两室一厅双空调/适合4人,2室,宜住4人,￥266,,"
                                        4.8
                                    ",整租,chengdu
镇中心交通要道 地铁2号线和6号线 瑞缘民宿 单间,3室,宜住2人,￥130,,"
                                        5.0
                                    ",单间出租,chengdu
瞰太古里 IFS 春熙路 全景一室一厅,1室,宜住2人,￥688,,"
                                        5.0
                                    ",整租,chengdu
成都天蓝公寓【长租／短租】熊猫基地温馨二居室/宽窄巷子/动物园/地铁三号线/东站,2室,宜住4人,￥498,,"
                                        5.0
                                    ",整租,chengdu
伊藤 地铁 家乐福 大学城 带机麻 豪华套房,3室,宜住6人,￥328,,"
                                        4.9
                                    ",整租,chengdu
桐梓林地铁口LOFT 两居,2室,宜住4人,￥428,,"
                                        4.9
                                    ",整租,chengdu
紧邻成都东客站 宇玲小姐家 温馨大床房,1室,宜住2人,￥79,,"
                                        4.4
                                    ",单间出租,chengdu
【月租特惠】近宽窄巷子基准大床房/5号线花牌坊站/环球广场/花牌坊/西门车站/新,1室,宜住2人,￥133,,"
                                        4.9
                                    ",整租,chengdu
宽窄巷子 杜甫草堂附近大床房,1室,宜住2人,￥138,,"
                                        4.9
                                    ",整租,chengdu
"A区敞亮屋,高升桥地铁口, 步行可至武侯祠锦里",2室,宜住4人,￥288,,"
                                        5.0
                                    ",整租,chengdu
草堂北路地铁站附近 精装套二,2室,宜住4人,￥208,,"
                                        4.8
                                    ",整租,chengdu
cici短租.精选(交大店)65288;V.自由65289;,1室,宜住2人,￥199,,"
                                        4.9
                                    ",整租,chengdu
【楼下即太古里】1号/100寸投影/春熙路东门大桥地铁站/大床/带阳台靠花园安静,1室,宜住2人,￥148,,"
                                        4.7
                                    ",整租,chengdu
巨幕带会员投影房-市中心-临宽窄巷子-近春熙路太古里-文殊院地铁H口-投影大床房,1室,宜住2人,￥90,,"
                                        4.8
                                    ",整租,chengdu
东方新城二期东站对面.舒适大两居,2室,宜住4人,￥268,,"
                                        4.7
                                    ",整租,chengdu
润扬双铁广场 犀铺地铁口靠交大宜家风格两居室,2室,宜住4人,￥269,,"
                                        4.7
                                    ",整租,chengdu
崇州市小清新装修风格整套出租,1室,宜住2人,￥158,,"
                                        5.0
                                    ",整租,chengdu
武侯祠锦里地铁口精装三房体验,3室,宜住7人,￥399,,"
                                        5.0
                                    ",整租,chengdu
套一近欢乐谷 凯德广场  茶店子,1室,宜住2人,￥158,,"
                                        5.0
                                    ",整租,chengdu
成都天蓝公寓【长租／短租】近熊猫基地 黄金位置 景观熊猫基地 宽窄巷 锦里,3室,宜住6人,￥758,,"
                                        5.0
                                    ",整租,chengdu
西华大学附近地中海风情一居室,1室,宜住2人,￥128,,"
                                        5.0
                                    ",整租,chengdu
高新西区百草路地铁口附近豪华大床房,1室,宜住2人,￥268,,"
                                        5.0
                                    ",整租,chengdu
紧邻火车东站/春熙路－太古里一居,1室,宜住2人,￥219,,"
                                        5.0
                                    ",整租,chengdu
春熙路王府井跃层套房,3室,宜住6人,￥260,,"
                                        5.0
                                    ",整租,chengdu
【可停车/可做饭】文殊院/春熙路/339电视台 大二居 ins风 可住4-5人,2室,宜住4人,￥313,,"
                                        4.5
                                    ",整租,chengdu
红光上锦华西医院 三居室,3室,宜住6人,￥228,,"
                                        5.0
                                    ",整租,chengdu
武侯祠、锦里、宽窄巷子商务大床房,1室,宜住2人,￥98,,"
                                        4.8
                                    ",整租,chengdu
【The House雅居】欧式田园•近夜猫子夜市.宽窄巷子.奎星楼街,2室,宜住4人,￥178,,"
                                        5.0
                                    ",整租,chengdu
华西尚锦南府对面 三居室,3室,宜住6人,￥218,,"
                                        3.6
                                    ",整租,chengdu
近文殊院地铁站 | 近宽窄巷子舒适套房,1室,宜住2人,￥268,,"
                                        4.4
                                    ",整租,chengdu
成都青青我家短租公寓大床（中医药大学省医院店,1室,宜住2人,￥128,,"
                                        4.9
                                    ",整租,chengdu
都江堰景区步行可达/机麻棋牌/宽敞舒适全屋空调,4室,宜住8人,￥458,,"
                                        5.0
                                    ",整租,chengdu
地铁犀浦站loft新房大床房地铁直达/春熙、太古里,1室,宜住2人,￥238,,"
                                        5.0
                                    ",整租,chengdu
【The House雅居】Panda贰•宽窄巷子新城市广场简约,2室,宜住4人,￥178,,"
                                        4.5
                                    ",整租,chengdu
春熙路太古里IFS：北欧风情A,1室,宜住2人,￥288,,"
                                        5.0
                                    ",整租,chengdu
春熙路太古里IFS：北欧风公主房A,1室,宜住2人,￥288,,"
                                        4.9
                                    ",整租,chengdu
寬窄巷子 文殊院 太古里 不慕仙度假獨立屋一居,1室,宜住2人,￥888,,"
                                        5.0
                                    ",整租,chengdu
上锦南府医院华西分院温馨三居室,3室,宜住7人,￥268,,5.0,整租,chengdu
套二阁楼北欧主题一品天下凯德广场茶店子欢乐谷近6号线,2室,宜住4人,￥158,,"
                                        4.8
                                    ",整租,chengdu
成都宽窄巷子卷舒堂印象美洲海岸精致房,1室,宜住3人,￥268,,"
                                        4.5
                                    ",整租,chengdu
标间在上锦南府华西医院对面民宿,6室,宜住4人,￥89,,"
                                        4.5
                                    ",单间出租,chengdu
成都火车东站附近 春意单间,5室,宜住1人,￥55,,"
                                        5.0
                                    ",单间出租,chengdu
春熙路王府井一室一厅套房,1室,宜住2人,￥185,,"
                                        5.0
                                    ",整租,chengdu
南府医院华西分院 单间 可洗衣煮饭,3室,宜住2人,￥80,,"
                                        4.8
                                    ",单间出租,chengdu
四川大学华西医院上锦分院整租三居室,3室,宜住8人,￥188,,"
                                        4.8
                                    ",整租,chengdu
紧邻成都东站 幸运屋 星绿单间,5室,宜住1人,￥55,,"
                                        5.0
                                    ",单间出租,chengdu
成都宽窄巷子卷舒堂印象熊猫主题套房,2室,宜住3人,￥248,,"
                                        4.5
                                    ",整租,chengdu
归蜀 湖镜 春熙路 IFS 太古里,2室,宜住4人,￥438,,"
                                        4.6
                                    ",整租,chengdu
紧靠地铁3号线新南门站迷你双人房,1室,宜住1人,￥58,,"
                                        4.7
                                    ",整租,chengdu
天府广场、春熙路商圈商务单人间,1室,宜住2人,￥78,,"
                                        4.5
                                    ",整租,chengdu
紧挨四川大学豪华标准双床房,1室,宜住4人,￥128,,"
                                        4.5
                                    ",整租,chengdu
凯德广场 loft2居室温馨简约风,2室,宜住2人,￥188,,"
                                        3.0
                                    ",整租,chengdu
华西医院附二院西藏成办武侯祠锦里房一居,1室,宜住4人,￥218,,"
                                        4.5
                                    ",整租,chengdu
田园小清新风格大床房,1室,宜住2人,￥178,,5.0,整租,chengdu
紧邻成都东站 等花开 蓝色梦单间,5室,宜住1人,￥50,,"
                                        5.0
                                    ",单间出租,chengdu
机场近川大蓝色田园风温馨浪漫小套房,1室,宜住2人,￥178,,"
                                        5.0
                                    ",整租,chengdu
市二医院門吉小屋 黑白系列 大床房,1室,宜住2人,￥286,,"
                                        5.0
                                    ",整租,chengdu
【secome可临】武侯祠锦里地铁直达春熙路太古里,1室,宜住2人,￥220,,"
                                        5.0
                                    ",整租,chengdu
二号线茶店子车站金沙宽窄巷子欢乐谷茶小一居室,1室,宜住3人,￥138,,"
                                        4.8
                                    ",整租,chengdu
春熙路商圈迷你单人间,1室,宜住2人,￥48,,"
                                        4.3
                                    ",整租,chengdu
